hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3)
493,32.90928054,23.75996447,0,1390.2,2.87
494,32.91444797,23.72662303,0,1390.2,2.87
495,32.84127919,25.27917632,0,864.5,2.87
496,33.92017893,28.55821974,0,864.5,2.87
497,35.99813809,30.46761711,0,864.5,2.87
498,37.47439569,32.02377632,0,1390.2,2.87
499,36.7934118,34.68499934,0,1390.2,2.87
500,36.24440341,36.06684868,0,1390.2,2.87
501,35.22719736,36.18611053,0,864.5,2.87
502,33.61374831,36.80213684,0,864.5,2.87
503,30.32884407,38.10687632,0,364.8,2.87
504,26.00442498,39.05299539,0,364.8,2.87
505,24.05745269,39.95394276,0,364.8,2.87
506,23.18266137,40.93583684,0,364.8,2.87
507,22.75058382,41.51955197,0,364.8,2.87
508,22.58882302,42.30551842,0,364.8,2.87
509,22.87647726,43.40271316,0,364.8,2.87
510,24.22794184,44.13750395,0,364.8,2.87
511,26.74485682,44.39705921,0,864.5,2.87
512,29.56666811,41.42169474,0,864.5,2.87
513,33.27800877,36.70644671,0,864.5,2.87
514,34.5331037,31.83237829,0,1390.2,2.87
515,35.04547738,27.52591382,0,1390.2,2.87
516,33.90039315,25.32195,0,1390.2,2.87
517,32.35008418,24.26486447,0,1390.2,2.87
518,32.3551638,24.21635329,0,1390.2,2.87
519,32.28323831,26.27568947,0,864.5,2.87
520,33.34380533,32.55384671,0,864.5,2.87
521,35.38645568,35.62406645,0,864.5,2.87
522,36.83762863,35.75054013,0,1390.2,2.87
523,36.16821606,35.86214605,0,1390.2,2.87
524,35.62853645,36.14978487,0,1390.2,2.87
525,34.62861482,37.24030066,0,864.5,2.87
526,33.04258159,38.60149145,0,864.5,2.87
527,29.81349463,39.81977763,0,364.8,2.87
528,25.75080775,40.92899803,0,364.8,2.87
529,23.82282399,41.92638158,0,364.8,2.87
530,22.95656438,42.85948026,0,364.8,2.87
531,22.52870081,43.67353026,0,364.8,2.87
532,22.36851764,44.17079211,0,364.8,2.87
